14 07 06  03 48 01  87.1495  117.2673  24.4694
14 07 06  03 49 01  87.2734  116.9680  24.4732
14 07 06  03 50 01  87.1248  117.1176  24.4694
14 07 06  03 51 01  87.1743  117.1925  24.4732
14 07 06  03 52 01  87.1248  117.1675  24.4732
14 07 06  03 53 01  87.2239  117.2423  24.4694
14 07 06  03 54 01  87.1248  117.0927  24.4732
14 07 06  03 55 01  87.2239  117.1426  24.4656
14 07 06  03 56 01  87.1743  117.1925  24.4732
14 07 06  03 57 01  87.2734  117.0927  24.4694
14 07 06  03 58 01  87.0009  117.3920  24.4732
14 07 06  03 59 01  87.3725  117.3421  24.4656
14 07 06  04 00 01  87.2239  117.2922  24.4732
14 07 06  04 01 01  87.2486  117.1925  24.4732
14 07 06  04 02 02  87.2982  117.2423  24.4694
14 07 06  04 03 01  87.1248  117.3421  24.4656
14 07 06  04 04 01  87.1495  117.3421  24.4732
14 07 06  04 05 01  87.3973  117.3421  24.4732
14 07 06  04 06 01  87.2734  117.1176  24.4732
14 07 06  04 07 01  87.1000  117.2922  24.4732
14 07 06  04 08 01  87.1991  117.1925  24.4656
14 07 06  04 09 01  87.3725  117.1176  24.4694
14 07 06  04 10 01  87.3725  117.0678  24.4732
14 07 06  04 11 01  87.1495  117.0927  24.4656
14 07 06  04 12 01  87.2982  117.2922  24.4694
14 07 06  04 13 01  87.0752  117.0678  24.4694
14 07 06  04 14 01  87.2734  117.2423  24.4694
14 07 06  04 15 01  87.3725  117.1426  24.4732
14 07 06  04 16 02  87.2239  117.1426  24.4694
14 07 06  04 17 01  87.2734  117.1675  24.4770
14 07 06  04 18 01  87.4468  117.2423  24.4694
14 07 06  04 19 01  87.2239  117.0428  24.4694
14 07 06  04 20 01  87.0752  117.1675  24.4732
14 07 06  04 21 01  87.1743  117.2174  24.4656
14 07 06  04 22 02  87.3973  117.2673  24.4694
14 07 06  04 23 01  87.3477  117.1426  24.4656
14 07 06  04 24 01  87.3973  117.1925  24.4694
14 07 06  04 25 02  87.2734  117.0678  24.4732
14 07 06  04 26 01  87.1743  117.3671  24.4732
14 07 06  04 27 01  87.2982  117.2174  24.4694
14 07 06  04 28 01  87.1991  117.1675  24.4694
14 07 06  04 29 01  87.1495  117.2423  24.4694
14 07 06  04 30 01  87.1495  117.2174  24.4770
14 07 06  04 31 01  87.2734  117.2673  24.4732
14 07 06  04 32 01  87.4468  117.1925  24.4694
14 07 06  04 33 01  87.2734  117.3172  24.4656
14 07 06  04 34 01  87.2486  117.1426  24.4656
14 07 06  04 35 01  87.1495  117.2922  24.4656
14 07 06  04 36 02  87.2982  117.1176  24.4770
14 07 06  04 37 01  87.3477  117.5167  24.4732
14 07 06  04 38 02  87.2486  117.2922  24.4732
14 07 06  04 39 01  87.3477  117.2174  24.4694
14 07 06  04 40 01  87.4468  117.3671  24.4732
14 07 06  04 41 01  87.3477  117.2673  24.4694
14 07 06  04 42 01  87.1991  117.3172  24.4617
14 07 06  04 43 01  87.2734  117.4668  24.4694
14 07 06  04 44 01  87.2486  117.2922  24.4656
14 07 06  04 45 01  87.4964  117.2673  24.4694
14 07 06  04 46 01  87.3477  117.2673  24.4732
14 07 06  04 47 01  87.3229  117.3920  24.4656
14 07 06  04 48 01  87.2982  117.2673  24.4656
14 07 06  04 49 01  87.3477  117.3920  24.4694
14 07 06  04 50 01  87.3229  117.2922  24.4694
14 07 06  04 51 02  87.2734  117.4169  24.4732
14 07 06  04 52 01  87.3477  117.3671  24.4732
14 07 06  04 53 01  87.4220  117.3172  24.4694
14 07 06  04 54 01  87.3477  117.3920  24.4694
14 07 06  04 55 01  87.5707  117.3920  24.4732
14 07 06  04 56 01  87.3477  117.2174  24.4694
14 07 06  04 57 01  87.3725  117.3671  24.4732
14 07 06  04 58 01  87.3725  117.1675  24.4694
14 07 06  04 59 01  87.5954  117.4169  24.4656
14 07 06  05 00 01  87.3477  117.5915  24.4732
14 07 06  05 01 01  87.4964  117.3421  24.4656
14 07 06  05 02 01  87.2239  117.4169  24.4656
14 07 06  05 03 02  87.5459  117.4668  24.4694
14 07 06  05 04 01  87.3229  117.5915  24.4694
14 07 06  05 05 01  87.5954  117.4918  24.4694
14 07 06  05 06 01  87.3973  117.5167  24.4656
14 07 06  05 07 01  87.4220  117.5417  24.4694
14 07 06  05 08 01  87.2486  117.4169  24.4694
14 07 06  05 09 01  87.5459  117.3421  24.4656
14 07 06  05 10 01  87.2982  117.4918  24.4656
